annotater,CIDa,review#a,CIDq,review#q,CIDb,review#b,Waldo,confidence,comments,,,,,,,,,,,,,,,,,,
41,9396549,R2YMUBW2XEP0WH,16966423,RUG3MPPKGVHJN,9396549,RT1IVPEPK0VYR,Q,,,,,,,,,,,,,,,,,,,,
42,7338970,R58Q3FBQO8OUY,16475984,R1M06BGZQ3AS27,7338970,R3KDVM9U76KQ9B,A,,,,,,,,,,,,,,,,,,,,
45,17249013,R14OUUN908QUZ2,12438103,RMS6DRFS0HQKK,17249013,RQ4ZE5KNE6GQS,Q,,,,,,,,,,,,,,,,,,,,
46,19871781,R1XW6GAVGSIALF,15350118,R2TJNMDL8F6YSF,19871781,R13VAIACVNVR9V,Q,,,,,,,,,,,,,,,,,,,,
47,11778314,R1TIHUQQ9A4OI2,10857868,R39HADQ4TIBHXY,11778314,R21XYZOC3FQ4QZ,Q,,,,,,,,,,,,,,,,,,,,
48,15350118,R3CHQPPSB2HVXK,13287030,R3OQWJIOFCBAN8,15350118,RKUQBGTPKMXBU,Q,,,,,,,,,,,,,,,,,,,,
49,10329680,R3OOZOA6I1EXA6,14552100,R3PEWIS9CNC1G7,10329680,RANEUBBJ4JGE2,Q,,The paragraph formatting for two was unusual so I thought those were by the same author and I selected the other one.,,,,,,,,,,,,,,,,,,
50,10589108,R1VC5CMWSU2WWL,12626911,R2VO30299SF8NA,10589108,R185E1VT7INI8E,Q,,,,,,,,,,,,,,,,,,,,
52,16966423,R199OW1DPBGNO7,20234970,R10ISGYR2Q0OJZ,16966423,R256LQS9HWSWZ2,Q,,more detail, weird spacing, capitalization inappropriately.,,,,,,,,,,,,,,,,
53,18874651,RXBOCDHJC7JUS,18263105,R1YXM9F4QCYQUC,18874651,R34WM4HD4N5FWX,Q,,first two start with the same beginning, and the tone is similar.,,,,,,,,,,,,,,,,,
54,12660387,R2DA5OB6J863RV,11778314,R2BXBTS7BXKRYJ,12660387,RFPUUK2P462UL,Q,,first example's punctuation, grammar, and spacing mistakes are distinct from the other two.,,,,,,,,,,,,,,,,
55,20564024,R1KULBS9TFZ2UN,17167078,RX1SOVZIK1BUV,20564024,RH5OFYAJFPJ3M,Q,,3rd example just felt different.,,,,,,,,,,,,,,,,,,
56,9396549,R3IARUBWOJY3IB,12660387,R3LDTCYYLJ7HB,9396549,RZSNBXFU2PLRR,Q,,there were two of the same comment, while the first was different.,,,,,,,,,,,,,,,,,
57,19029681,R3J1B0ZDRTGUOL,12583536,RGDX30BGAT84B,19029681,RWRIJTM04UZPY,Q,,capitalization was more consistent, as well as better vocabulary in the first and third examples.,,,,,,,,,,,,,,,,,
58,12660387,R1TM8GB17FJC7Q,13287030,R2GUX99L5SYSFE,12660387,R3MW9ME0HE8Q5N,Q,,first example uses the first person pronoun constantly while the others do not at all. ,,,,,,,,,,,,,,,,,,
59,16357550,R13YYHSVNH52TG,13129675,RQYJULGIV7N1Z,16357550,R2JPQ8NJZKLYY2,Q,,spacing between the exclamation marks is consistent on the second two examples.,,,,,,,,,,,,,,,,,,
60,10589108,R15FIN54NZ36AY,19631423,RH4D93TQ4YPCS,10589108,R2F0BGC8WH8FTS,Q,,second example has inconsistent spacing with the first and third example,,,,,,,,,,,,,,,,,,
61,21042886,R3F9HKDENU7VWM,17407953,R4XGBW65V93L3,21042886,R2XYG2HAD78SSS,Q,,the second and third example use capitalization for emphasis while the first does not.,,,,,,,,,,,,,,,,,,
62,21042886,R327X71RA4O5BC,15941329,R1OB7F2R3ZSXWG,21042886,R1SU72E7LVLIFB,Q,,the spacing and tone make it seem like a different writer, as well as the lack of emphatic capitalization.,,,,,,,,,,,,,,,,,
63,13647566,R33JYI98C8THHX,13442468,R2ZRHBFF5HG1XL,13647566,R14AHXDVSPOLOI,Q,,first and third writer had a lot of mistakes and bad grammar.,,,,,,,,,,,,,,,,,,
64,17605672,R1LMYM2OQQEAVP,9920629,R1EDLLU38KSR74,17605672,R2CSJJNY1454WG,A,,no emoticons in the 3rd example.,,,,,,,,,,,,,,,,,,
65,19631423,R1CIU9D7AQ8ARE,11615823,R21T11E6KSVPS6,19631423,R1FKCBXT9SWSJK,Q,,the third example is choppy.,,,,,,,,,,,,,,,,,,
66,11380011,RJ6M1QJEK3YV7,13965917,RM2O2LL8CXX3R,11380011,R2DVQEYYMB6XYF,Q,,no capitalization on the second example as well as missing punctuation.,,,,,,,,,,,,,,,,,,
67,19029681,R18LL0930N9PTM,7338970,R2QFZIQYHNIWT3,19029681,R3BS0EUQTFAY49,Q,,tone difference, more detailed about character names etc...,,,,,,,,,,,,,,,,,
68,13442639,R25FWR8Z3X1I1,10465789,RWGYFCI0DQCM9,13442639,R32S5UXSOYAHH9,Q,,emphatic capitalization.,,,,,,,,,,,,,,,,,,
69,13647566,RL5TBQ28N1T4O,12583536,R3A9VRJ09VA99R,13647566,R3E7EGBEQVTOHR,Q,,mistaken capitalization, less use of first person pronoun.,,,,,,,,,,,,,,,,,
70,17304105,R21YW65CDEA7H5,16139045,R3I1ZN4WXO0SNK,17304105,RUC5FLWC761E1,Q,,organizational structure and 0 grammar mistakes make the first example the choice.,,,,,,,,,,,,,,,,,,
71,13647566,RNGJQIX48ZKDZ,19146980,R37AWMOY6QOG8Z,13647566,R2X18SYD22G3B4,B,,lack of spacing, and exact page citations.,,,,,,,,,,,,,,,,,
72,12887339,R3J886EMRYC654,11925132,RKTZUEWIEG839,12887339,R140QJDL2JRMB8,Q,,the first example looks like ielts writing, more detailed and organized without mistakes.,,,,,,,,,,,,,,,,,
73,10329680,R1D1BZMEVBMIYA,7338970,R3J1SKGB2TYD10,10329680,R170VFBCVCGTUG,Q,,The second and third example break up the sentence structure and sound almost like poems.,,,,,,,,,,,,,,,,,,
74,16345679,ROMESLWF8GGUK,12365995,R14GDZHW77IWO3,16345679,R1KW5GWAW1LMN2,Q,,sentence spacing is different and more line breaks.,,,,,,,,,,,,,,,,,,
75,9396549,R156TSW8J5J810,12998060,R6YZS1KG9WXMY,9396549,R37CJUNBUVOVG8,Q,,"Both of the ""same writer"" that I chose had exact same review.",,,,,,,,,,,,,,,,,,
76,16564975,RE04RFPK7XTZ5,12320971,R2W7CUGH4I3WIT,16564975,R17ABXGGFPAGN5,Q,,The two I chose as the same had the same structure of the review.  First paragraph described the plot of a book," and the second a review proper.  The ""different one"" just had a very brief opinion.",,,,,,,,,,,,,,,,,
77,13442639,R29F7GQ9ODYADD,17304105,R2FWOMHETM6RUT,13442639,RJAKSJVLLEPXC,Q,,The one I chose as different seemed like a very pompous review, where the other two did not.  Additionally," the ""different"" one did not capitalize most of his/her sentences whereas the other two did. ",,,,,,,,,,,,,,,,
78,13551244,RT830CWNAI7M4,16056533,R1IDXZP714BTQO,13551244,RFGYNIAELZOX7,Q,,The two similar reviews have a lot of detail and seem to be speaking directly to a potential user of the respective products,,,,,,,,,,,,,,,,,,
79,12365995,RUKLSW88YD7UG,10465789,R17MZFDIIMRWLV,12365995,R3MVCTDXJFY34Q,Q,,The two I chose as similar both put their star rating inside the review.  And both misspelled their/there,,,,,,,,,,,,,,,,,,
80,10636449,R4119F86S4ZXX,13543192,R2OVA7D4WF9FD2,10636449,R1XHI0MNEJO9K7,Q,,Both of the reviews that I thought were similar had identical disclaimers - that they were reviewing the book for the author.  The style also seemed very similar.,,,,,,,,,,,,,,,,,,
81,15901408,R3N4SRQPRA6WF,15290117,R3EN9MMC52BVE5,15901408,R35ODGGEZBRMMU,A,,The two I chose as similar were both short and sweet.  The other was rambling and didn't make complete sense.,,,,,,,,,,,,,,,,,,
83,13551244,RDSJTOHRCMX4R,15350118,R2MZH96KZM4SCE,13551244,R3AHWK5OPDYJBU,A,,The ones I chose as similar use all uppercase in the headline, and are descriptive," while the ""different one"" used lowercase in the headline and refered to the star rating given.",,,,,,,,,,,,,,,,
84,13849930,R3OO1K2GSZM5C2,20867577,R38OG0QJX0BPQ6,13849930,R1ZREOPOZWT3NZ,Q,,long vs. short,,,,,,,,,,,,,,,,,,
85,9396549,R2ON32W4N9U59Z,10465789,R1U9RES54Q88FT,9396549,R1JVVVO26Y96KU,Q,,,,,,,,,,,,,,,,,,,,
86,18632236,R2M4RQU3NSDSKR,11191604,R18RKNA61S6HD,18632236,RF9NKZ5RUZK5B,Q,,The second writer uses big words.,,,,,,,,,,,,,,,,,,
87,10329680,R2KFZ2D26J973K,17304105,R2IQNBN0V9OY3S,10329680,R2ZBL1VBIFYLKF,Q,,1st and 2nd reviews have newlines in between the sentences.,,,,,,,,,,,,,,,,,,
88,11795137,R9JPK00RBTDJP,21155796,R3GGJY45QUN4GX,11795137,R1FEP7FFGKPK1O,Q,,1st and 3rd have similar formats,,,,,,,,,,,,,,,,,,
90,10009912,R2UY0EMIIY8J1C,18865131,R2Q7GY1UN5TBU2,10009912,R3H6G72PFAV4ZU,Q,,The moral sentiment in the 1st and 3rd reviews are similar.,,,,,,,,,,,,,,,,,,
91,8619660,R27ZVM88555BD8,7338970,R2HZTMIKHSOAFU,8619660,R29YXRIC5AGQX5,Q,,1st and 3rd reviews match in grammar.,,,,,,,,,,,,,,,,,,
92,16994443,RVDPBOYRQUBQY,5781649,R2SFGAXIZ2DKNP,16994443,R3FZP5BIO0TKGV,B,,,,,,,,,,,,,,,,,,,,
93,13849930,R1MNS4SG15I9J3,13965917,R1H53XMSX4L8YH,13849930,R2DVXCALL4IK2,Q,,Only one that was a complete sentence,,,,,,,,,,,,,,,,,,
94,8568294,R3B0ZDQTUWXL5Z,15084416,R2N3FBUT5QJIFJ,8568294,R2A11GX3CNXROL,Q,,,,,,,,,,,,,,,,,,,,
95,20867577,R3OY03DD74N5FS,8619660,R2J9321G3E4LW4,20867577,R2EWRYWLGAK345,Q,,,,,,,,,,,,,,,,,,,,
96,11380770,R1MF1ZHAHI76KZ,17190936,R2UOF81FV44PNN,11380770,R3N7IRC5WATUU0,Q,,,,,,,,,,,,,,,,,,,,
97,12998060,R3EDXI9T7R2BK2,18632236,R13EWG74S60CO2,12998060,R3V7IBUU3P3XJL,Q,,,,,,,,,,,,,,,,,,,,
98,10800687,R7DCF6U2BODJW,19379746,R2IJL0BVY46AC9,10800687,R1WS5FYP92THPZ,Q,,,,,,,,,,,,,,,,,,,,
99,9396549,R3UGOFMZ91JWFO,20564024,R2M785T0Z7U55H,9396549,R2PYETHU7ZM4H5,Q,,,,,,,,,,,,,,,,,,,,
100,20793013,RQZA5FN4MNN2B,20402909,R2VBKKILJ6STZ9,20793013,R3PT3VITRDR1FW,Q,,"The first user hyphenated ""well-known""", which not many people do.,,,,,,,,,,,,,,,,,
101,13442468,RHZYE2CH9DWLT,16994443,RZ76FUUWC1F4J,13442468,RQ0P5219SI5YB,A,,,,,,,,,,,,,,,,,,,,
102,10170543,R1TLKGKAN1D98,11446623,R3RS2WVJ0I2L0A,10170543,RSUUZXO0NLAS8,B,,,,,,,,,,,,,,,,,,,,
103,18874651,R38PK88YS0QBYY,16139045,ROOHUZT00IEAR,18874651,R1H27M8Z9251JG,Q,,,,,,,,,,,,,,,,,,,,
104,18213253,R1XY1CD444BPJZ,13110162,R3UMG1JJWFPUDK,18213253,R2Y206HHWLF453,Q,,,,,,,,,,,,,,,,,,,,
105,20402909,R2SIS48PF5UXV,12660387,RUQI5YGJUD8C1,20402909,R2UQRPXD88L9XS,Q,,1st and 2nd have same ending line,,,,,,,,,,,,,,,,,,
106,12241941,R2OGXIKUOA5YBU,13931633,R1BGR0NYMZHWBZ,12241941,R10E5A5YXKCD34,Q,,,,,,,,,,,,,,,,,,,,
107,12365995,R2CXQHYWV1ZHHQ,11380770,R2ASEE5CWD1SMY,12365995,R2S4L21JXYQSKK,B,,,,,,,,,,,,,,,,,,,,
108,12623236,R3RBERI6F0VO25,9663971,R34QX6YTR5J5Y0,12623236,R3SGUWQWYO6QKK,A,,,,,,,,,,,,,,,,,,,,
109,12877778,R3NQFS9HT7UFO0,11795137,R2XZT1E4W2G74O,12877778,R3VM5ZDHHJHKR6,A,,The 1st one detailed about how the person did not like the story to be long and drawn out. However, the 2nd and 3rd ones talk about how they like the way the author detailed the plot, in which it appears that they like very detailed stories.,,,,,,,,,,,,,,,,
110,10042251,R1SKDZZDR6W1DJ,18550178,RRAZA75EVJEGE,10042251,R1Y47Y9Z4NG7GW,Q,,The 2nd commenter used punction and made actual sentences. The other two commenters were very informal and simplistic in their comments.,,,,,,,,,,,,,,,,,,
111,11191604,R2L4CSPXHTV9FR,10042251,R2ZYG49OWO1KLA,11191604,R138ELS5EB3SYH,Q,,The third one was very short. THe other two comments incorporate a lot of commas.,,,,,,,,,,,,,,,,,,
112,14106983,R36J2N4385YLA2,12588785,RD5CX7EBVK4LD,14106983,R2Y6RU9LPZC507,Q,,The first one was different, obviously because it was written in all caps. However, the other two comments describe a book, but they write it in a way that they want to hook the reader without giving the conclusion of the book.,,,,,,,,,,,,,,,
113,11446623,R234JRB9KICJPY,13647566,R55H0EVKTIG9X,11446623,R3DYGAFLNGX97F,Q,,The second comment is more specific, giving what appears to be page numbers. The other two comments seem to be informal, high-level descriptions (somewhat),,,,,,,,,,,,,,,,
114,11451833,R3UKDQK8DS9PKO,20586231,R2UOMQ44JBEH3Q,11451833,R344V9JGF9GMVO,A,,I forgot which one I picked. But I think I chose the third commenter. The first and third ones are are both positive and the 2nd one is negative. The second one does not use capitalization, unlike the other two, but it can be understandable considering that this commenter is giving a low score. Therefore, why would this commenter take the effort to put capitalization. Also, I decided that the third commenter is different because .... I forgot why.,,,,,,,,,,,,,,
116,9920629,R2N5I4X90YB9KC,20586231,R1D3D5O0HFRNZY,9920629,R3HZRP4AF2PT43,Q,,selection based mostly on length, although the two long ones have similarities imho,,,,,,,,,,,,,,,,,
117,9195041,RF1Q1PHDV3K0H,12942243,R1CS3GU3VT73JR,9195041,RTVGLJXMC1NSZ,Q,,2 were books with 'I received free in exchange for an honest review.' Selected was shorter, no disclaimer, and for a different product category.,,,,,,,,,,,,,,,,
118,12623236,R3M7J53MSSOURW,11778314,REY3LJ9819CJM,12623236,R2IWCVZ64BI7KI,Q,,Two unselected both started with title and author with unconventional punctuation.,,,,,,,,,,,,,,,,,,
119,14531925,R3V2BV3SG5G8YJ,7338970,R1AYZTHVEXISGN,14531925,R3J7KROX243VVV,Q,,Both unselected reviews concluded with the star rating. Other clues included word choice, like OMG.,,,,,,,,,,,,,,,,,
120,12320971,R15PIK42AH6AQE,13543192,RWU2BU3DFE5A8,12320971,R1PKILN99KS7R6,Q,,,,,,,,,,,,,,,,,,,,
121,13303929,R3DVGAWHU1QPT5,11728378,R2CO6N163NCJDD,13303929,R2G0YHBCIAFS7F,B,,2 reviews were all one giant paragraph and used \\. Selected third as different writer.,,,,,,,,,,,,,,,,,,
122,19379746,R2AM1GC75V0DJS,13931633,RBQJGIFW21LMS,19379746,RLQQW64VDC5DC,Q,,selected one was for a different product category, and did not include disclaimer in [] about receiving free product for an honest review.,,,,,,,,,,,,,,,,,
123,12877778,R3I1XHWBLV9TK2,16994443,R1PNKMZGAJ4FO3,12877778,R1UCEZUHSSPW84,Q,,no paragraph spacing in selected review.,,,,,,,,,,,,,,,,,,
124,16139045,R2M89DCZJMLWHB,7338970,R225K2HGO2MH43,16139045,R31IT7LEHYII3F,Q,,The two unselected reviews had headers separated by lines made of dashes.,,,,,,,,,,,,,,,,,,
125,10982778,R2PTYFNBD80UE8,12347772,RRFIEOWL42G77,10982778,R8WP1NG10Q06U,Q,,mostly chosen because of separated paragraphs, but there were other indicators. One of the unselected was signed, causing some doubt.,,,,,,,,,,,,,,,,
126,17245326,R1UJEFC9S67VJO,10073578,R2FHP8L5OPRJ6M,17245326,R3FG8AR1LJ288O,Q,,This was very hard to tell and my answer is more or less a guess.,,,,,,,,,,,,,,,,,,
127,17167078,R3TJ2SLQ9U55U9,16966423,R2BOKQ7F0EJJPD,17167078,R2V8LUE6BH7RGM,A,,"The other 2 reivews referred to the reader ""you"" wheras the selected one stayed in third person.",,,,,,,,,,,,,,,,,,
128,12660387,R6A8UWRDZT44,12943337,R2R3I5P4RPNZ4Q,12660387,R2R61FGHLZERUH,Q,,length plus random capitalizations set this review apart from the other two.,,,,,,,,,,,,,,,,,,
129,12347772,R2SR8ZOJS4M4Z0,13551244,RGAFIUGFZQJY2,12347772,R3FHYGVPUJDFUZ,Q,,,,,,,,,,,,,,,,,,,,
130,20595117,RJB6B7M8E0OAJ,10063295,R27QVUE17A2AAP,20595117,R3865OYZ851NHR,Q,,,,,,,,,,,,,,,,,,,,
131,5781649,R2CRFSOXKQ5X72,9920629,R38W1NHEZH465M,5781649,R2UX8VKD72HDLO,Q,,The selected review was longer and spelling errors seemed less frequent.,,,,,,,,,,,,,,,,,,
133,19631423,R7IPBMKCDM91L,10800687,RORQQZ1BS2I1K,19631423,RN229Y2VZVS8C,Q,,,,,,,,,,,,,,,,,,,,
134,20457988,RDBB0TB6ETFGC,13966804,R1SDSRO8GQ0D66,20457988,R10ET8IST2NZIP,Q,,This was a hard one. Eventually the use of apostrophes was the basis for differentiation.,,,,,,,,,,,,,,,,,,
135,15901408,R3ERH2T7APAPK7,11795137,RYPCEUX6Y4QTJ,15901408,R2T3WH4MOHQCAY,Q,,,,,,,,,,,,,,,,,,,,
136,19871781,R3CCTFCECDSXOC,13551244,R25EJIOGCRTQV2,19871781,R3RCO4HTSRJ4R7,Q,,,,,,,,,,,,,,,,,,,,
137,5781649,R3J3ZUC18YV6QL,15901408,R1JZPMNJWGN0ZG,5781649,R33PBHAMMHZNCP,Q,,,,,,,,,,,,,,,,,,,,
138,20081436,RT9X46KXDA0UH,6092771,R1KENV2DGA1QKE,20081436,RXQH5YFH73X04,Q,,,,,,,,,,,,,,,,,,,,
139,17010412,R14NBF0EL6X8N0,13303929,R36MHI80THHBW,17010412,R1G33UWPLXSAT8,Q,,So many exclaimation points in the 2 selected as the same!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,,,,,,,,,,,,,,,,
140,16475984,RBH1WI6VOUZ1W,19146980,R483207DG7CFE,16475984,R24IRK0E1YF6FJ,Q,,,,,,,,,,,,,,,,,,,,
141,9663971,R1EQKTV53QNKP5,11380770,R27RUFFM7LSWYW,9663971,R39C0GKSNOBQ2J,Q,,,,,,,,,,,,,,,,,,,,
142,12877778,R2JR9EOXL6PS65,21042886,RU9S2IEIRE0M2,12877778,R3SHIW2UGNIDG6,A,,3rd review was short.,,,,,,,,,,,,,,,,,,
143,19512365,R20HJ254C9QLUH,18466830,RRN7EHB5DIJRV,19512365,R3P3JPDQ5DKTK5,Q,,Final line was similar for reviews 2 and 3,,,,,,,,,,,,,,,,,,
144,20595117,R27O19F0MBOSBM,15350118,R1MFUAXUPROPUP,20595117,R3205NFK15HH17,A,,3rd one seems wordy and the capitalization was different,,,,,,,,,,,,,,,,,,
145,19146980,R34N9UBRM0K20G,16966423,R2W18TPTV73N23,19146980,R5N9B6MHT89SL,Q,,"1st and 3rd reviews had phrase ""summer romance""; also", the books that the reviewer reviewed seemed similar in taste,,,,,,,,,,,,,,,,,
146,16475984,R21J6K7MUIMEEO,9396549,R1N940K9HPCLLU,16475984,R1M06BGZQ3AS27,Q,,1st review very short. Also, titles of 2nd and 3rd reviews were first sentence in reviews.,,,,,,,,,,,,,,,,,
147,15610022,R251TB7HW0IIS0,9303980,R3QRSUWCYUNYQ3,15610022,R8OE5ZP1LZKJR,A,,1st and 2nd reviews seemed more spoken English rather than written English,,,,,,,,,,,,,,,,,,
148,12877778,R39E317BA87G7P,9303980,R36XQSBEZ1I8MX,12877778,R39XG4IATWAOVD,Q,,Final line in 2nd and 3rd were similar,,,,,,,,,,,,,,,,,,
149,14531925,R2LPB1W01O5ER2,12660387,R6127GW3J3UTS,14531925,R328MDCGQPL3N3,Q,,1st and 3rd both have ratings on bottom line and are very long,,,,,,,,,,,,,,,,,,
150,20234970,RJLZBJ46F32WJ,17249013,R3DZQMQ0GNLF19,20234970,R3JH42H5FRFO8M,Q,,1st one is very short. 2nd and 3rd reviews deal with history-related products,,,,,,,,,,,,,,,,,,
151,11170788,R1UN312RXJOAPU,16486266,R1FT1536LOU66S,11170788,R39EZOAEGDDNZ7,B,,2nd one was to the point,,,,,,,,,,,,,,,,,,
152,16486266,R1S8CII5XAHCPA,17407953,R1Y471H1CE2PO6,16486266,R2H4AAXMZIHAT0,Q,,2nd and 3rd reviews mention product specifics (i.e., the model number?),,,,,,,,,,,,,,,,,
153,19827607,R3UV3NNQW1DRTR,9663971,R3NZBDON5RTP7J,19827607,R28N8HDFVV56A6,B,,,,,,,,,,,,,,,,,,,,
154,19871781,R2XBXTERXVTG8Q,19029681,R2A1NFZCQZ0DU5,19871781,RGC6CH9Z61B9A,Q,,Description of the artist was similar in tone,,,,,,,,,,,,,,,,,,
155,10837991,RYQZKR1JBKWVP,11330548,R2RCSCLFWQEF68,10837991,R1FIJ0DJT9KP94,Q,,1st and 2nd seemed to have slang,,,,,,,,,,,,,,,,,,
156,20793013,R160FIFPV74ZKM,13442468,R23WGBFXAILZI1,20793013,R1TFLE6I8QF7QC,Q,,1st and 2nd reviews mentioned detailed specifics,,,,,,,,,,,,,,,,,,
157,20586231,RD5OV6YN7OLX5,12365995,R9PYZFJFEIEQF,20586231,R1GHIY25DZ0JQE,Q,,Last line was different in 2nd review,,,,,,,,,,,,,,,,,,
158,12887339,RUB37ZSJHFF6D,15610022,R1ALQ1O5K8DCGA,12887339,R1SZ7EAW1DIZTK,Q,,1st and 3rd used slang,,,,,,,,,,,,,,,,,,
160,16111618,R28F59NT5DBUQP,17788340,R28GA3YFAFUPVE,16111618,R2Z8WNJ3ZNKLTY,Q,,The other two commenters use headers, like 'pros' 'warning' and appends a dash to them. However, the first comment did not have such features.,,,,,,,,,,,,,,,,
161,13442639,R2KDXJN41ZB0I0,6092771,R1HA06TJ6MXHHM,13442639,RJKEXE0A11AHG,Q,,The second comment did not incorporate the use of capitalization, unlike the other two comments. The second comment seemed a bit rushed, or not have enough effort into writing it, but the other two seemed to have more effort.,,,,,,,,,,,,,,,
162,19827607,R2VPKHO3V09WG9,15901408,R1RZXC3XDBH980,19827607,R2ZCGGMHVB8VY6,A,,The other two comments seemed to not be full sentences.,,,,,,,,,,,,,,,,,,
163,12623236,R1A8RF46YB7M9G,11778314,R2CCJWGHWL7JPO,12623236,R1KH2NW5IW0S3,Q,,The stars are either 4 or 5 stars, so they all would have same mentality: they like the product. However, the second comment is very long, a bit too long. And the others are quite short.,,,,,,,,,,,,,,,
165,14126514,R1Q8URNE6M6T7S,20401140,RDJ4CN0W3FDH7,14126514,RX92FB3BIZE4A,B,,This was a difficult one. Capitalization choices in the headline were the decider.,,,,,,,,,,,,,,,,,,
166,19029681,RTV6ER7CD0H4I,17304105,R3MPD1WKFQEENI,19029681,R20JHED258ZG5I,Q,,capitalization and sentiment.,,,,,,,,,,,,,,,,,,
167,9920629,R2L3RHOFV1XKAR,15350118,R3PEB03OZEPC7U,9920629,RSS0Z4X4COIFJ,Q,,,,,,,,,,,,,,,,,,,,
